idJson,site,title,description,analysis_date,possible_false_positive,provide_api_reference,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_a_version_indicator,gather_feedback_from_data_consumers,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,cite_the_original_publication
18,https://dados.es.gov.br/dataset/tcees-saneamento-basico/resource/2644bcbb-0e54-4679-bd69-ea72f6255317,[TCEES] Saneamento basico  Ranking capixaba de saneamento basico - RCSB - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
19,https://dados.es.gov.br/dataset/lista-de-responsaveis-consultas-tcees/resource/d2a18709-9c15-46da-bdbd-fbc3ddbc2202,[TCEES] Relacao de responsaveis - Controle Externo TCEES  Responsaveis com contas irregulares - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
20,https://dados.es.gov.br/dataset/groups/portal-da-transparencia-contratos,[Portal da Transparencia] Contratos  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,https://dados.es.gov.br/dataset/contratos-administrativos-of-e-os/resource/83efd5e6-23d6-4be1-bd8f-e67ed9faacf7,Contratos administrativos - OF e OS  ORDENS FORNECIMENTO 2022.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
22,https://dados.es.gov.br/dataset?tags=BANCO&res_format=PDF,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,https://dados.es.gov.br/dataset?tags=meio+ambiente&tags=recursos+h%C3%ADdricos,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
24,https://dados.es.gov.br/dataset?tags=Estrutura+Econ%C3%B4mica+Economia&tags=Estrutura+Econ%C3%B4mica,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25,https://dados.es.gov.br/dataset/estoque-de-sangue-hemoes/resource/53dc8045-03a0-4319-9f64-9ef5c105bbf6,Estoque de Sangue HEMOES  estoquesanguehemoes.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
26,https://dados.es.gov.br/dataset/https-ijsn-es-gov-br-media-ijsn-drs-compendio_idrs-20-20atualizado-20agosto-202023-xlsx,[IJSN] IDRS - Indice de Desenvolvimento Regional Sustentavel  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,1,0,1,0,1,0,0
27,https://dados.es.gov.br/dataset?res_format=PDF&license_id=gfdl,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,https://dados.es.gov.br/dataset/portal-da-transparencia-patrimonio/resource/e69fdbf6-01bf-4c1f-81c7-bc2673e40974,[Portal da Transparencia] Patrimonio  Patrimonios-1987.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
29,https://dados.es.gov.br/dataset?tags=licen%C3%A7as,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,https://dados.es.gov.br/dataset/observatorio-mulheres-lideranca-e-participacao-politica/resource/6aa65e2c-75b4-4b5e-b5a3-f30f5adae5c8,Observatorio MulherES  UF_SAUDE_NASCVIVOS_2015.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
31,https://dados.es.gov.br/dataset/portal-da-transparencia-georreferenciamento/resource/7ea9bafe-86da-4c02-b163-e547e3be8553,[Portal da Transparencia] Georreferenciamento  MapaEducacao.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
32,https://dados.es.gov.br/dataset/portal-da-transparencia-pessoal/resource/969bf834-7952-4886-976e-8621b7273e59,[Portal da Transparencia] Pessoal  Remuneracoes-03_2017.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
